,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster,Station,Latitude,Longitude
2,0.25,0.13333333333333333,0.4,0.21518987341772153,0.05263157894736842,0.2727272727272727,0.3170731707317073,0.36363636363636365,0.07547169811320754,0.031746031746031744,1,Jor Bagh,28.58823925,77.21652774187174
5,0.5,0.2,0.0,0.0759493670886076,0.07894736842105263,0.36363636363636365,0.17073170731707318,0.18181818181818182,0.11320754716981132,0.07936507936507936,1,INA,28.57440755,77.21024148189088
11,0.3333333333333333,0.4,0.2,0.26582278481012656,0.21052631578947367,0.36363636363636365,0.43902439024390244,0.2727272727272727,0.1509433962264151,0.09523809523809523,1,Hauz Khas,28.5442564,77.20670720000003
16,0.16666666666666666,0.4,0.0,0.21518987341772153,0.02631578947368421,0.6363636363636364,0.14634146341463417,0.36363636363636365,0.0,0.031746031746031744,1,GTB Nagar,28.6981317,77.2064113
19,0.16666666666666666,0.3333333333333333,0.0,0.0759493670886076,0.05263157894736842,0.18181818181818182,0.14634146341463417,0.2727272727272727,0.07547169811320754,0.047619047619047616,1,Civil Lines,28.676850800000004,77.22502990000002
20,0.08333333333333333,0.13333333333333333,0.0,0.13924050632911392,0.02631578947368421,0.36363636363636365,0.2682926829268293,0.2727272727272727,0.1320754716981132,0.06349206349206349,1,Model Town,28.7027136,77.1939912
21,0.41666666666666663,0.13333333333333333,0.0,0.06329113924050633,0.02631578947368421,0.09090909090909091,0.12195121951219512,0.2727272727272727,0.16981132075471697,0.09523809523809523,1,Chhatarpur,28.5067242,77.17500190000001
23,0.5,0.8,0.0,0.25316455696202533,0.02631578947368421,1.0,0.14634146341463417,0.18181818181818182,0.20754716981132074,0.09523809523809523,1,Chandni Chowk,28.6605039,77.22977970000002
26,0.08333333333333333,0.4666666666666667,0.0,0.11392405063291139,0.0,0.2727272727272727,0.0975609756097561,0.2727272727272727,0.22641509433962265,0.07936507936507936,1,Vishwa Vidyalaya,28.6950369,77.2147192
30,0.25,0.26666666666666666,0.0,0.11392405063291139,0.13157894736842105,0.36363636363636365,0.12195121951219512,0.0,0.18867924528301885,0.07936507936507936,1,Lok Kalyan Marg,28.598385,77.2029964
38,0.25,0.26666666666666666,0.0,0.0379746835443038,0.0,0.2727272727272727,0.29268292682926833,0.18181818181818182,0.16981132075471697,0.07936507936507936,1,Mansarovar Park,28.6757386,77.300102
42,0.16666666666666666,1.0,0.2,0.18987341772151897,0.02631578947368421,0.2727272727272727,0.07317073170731708,0.2727272727272727,0.18867924528301885,0.031746031746031744,1,Netaji Subhash Place,28.69605175,77.15264042023938
43,0.0,0.26666666666666666,0.0,0.06329113924050633,0.0,0.4545454545454546,0.12195121951219512,0.2727272727272727,0.11320754716981132,0.0,1,Mohan Nagar,28.60631905,77.10608184860985
44,0.0,0.0,0.0,0.12658227848101267,0.0,0.4545454545454546,0.0975609756097561,0.4545454545454546,0.3773584905660377,0.031746031746031744,1,Jhilmil,28.6757033,77.31250457549734
46,0.41666666666666663,0.3333333333333333,0.2,0.06329113924050633,0.02631578947368421,0.36363636363636365,0.07317073170731708,0.36363636363636365,0.09433962264150943,0.06349206349206349,1,Pitam Pura,28.703267600000004,77.1322497
54,0.41666666666666663,0.26666666666666666,0.0,0.16455696202531644,0.0,0.36363636363636365,0.5121951219512195,0.5454545454545454,0.05660377358490566,0.047619047619047616,1,Kohat Enclave,28.6980415,77.14053929999999
58,0.3333333333333333,0.3333333333333333,0.4,0.13924050632911392,0.05263157894736842,0.2727272727272727,0.12195121951219512,0.18181818181818182,0.07547169811320754,0.09523809523809523,1,Rohini East,28.7075901,77.1260386
59,0.08333333333333333,0.4,0.0,0.0759493670886076,0.02631578947368421,0.36363636363636365,0.0975609756097561,0.4545454545454546,0.18867924528301885,0.031746031746031744,1,Rohini West,28.7149569,77.115385
65,0.3333333333333333,0.2,0.2,0.26582278481012656,0.13157894736842105,0.36363636363636365,0.3902439024390244,0.09090909090909091,0.3018867924528302,0.047619047619047616,1,Subhash Nagar,28.6418074,77.1087611
67,0.3333333333333333,0.6666666666666666,0.0,0.37974683544303794,0.15789473684210525,0.4545454545454546,0.36585365853658536,0.09090909090909091,0.3773584905660377,0.047619047619047616,1,Tagore Garden,28.6437639,77.1128454
68,0.08333333333333333,0.26666666666666666,0.0,0.11392405063291139,0.05263157894736842,0.4545454545454546,0.0975609756097561,0.7272727272727273,0.09433962264150943,0.09523809523809523,1,Mayur Vihar Extension,28.59415815,77.29458935
69,0.08333333333333333,0.4,0.0,0.11392405063291139,0.0,0.36363636363636365,0.07317073170731708,1.0,0.09433962264150943,0.015873015873015872,1,Mayur Vihar -I,28.603133000000003,77.2925892
70,0.8333333333333333,0.26666666666666666,0.0,0.17721518987341772,0.10526315789473684,0.2727272727272727,0.6097560975609756,0.2727272727272727,0.05660377358490566,0.12698412698412698,1,Mandi House,28.62555560000001,77.234195
71,0.25,0.6,0.2,0.05063291139240506,0.02631578947368421,0.4545454545454546,0.2682926829268293,0.09090909090909091,0.5471698113207547,0.06349206349206349,1,Uttam Nagar East,28.624846500000004,77.0652861
75,0.16666666666666666,0.26666666666666666,0.4,0.10126582278481013,0.10526315789473684,0.36363636363636365,0.0975609756097561,0.09090909090909091,0.16981132075471697,0.06349206349206349,1,Moti Nagar,28.657859,77.14242879999998
