,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster,Station,Latitude,Longitude
7,0.6666666666666666,0.6666666666666666,0.2,0.6075949367088608,0.5263157894736842,0.36363636363636365,0.3170731707317073,0.5454545454545454,0.9622641509433962,0.19047619047619047,3,Saket,28.5244107,77.21372530000002
12,0.41666666666666663,0.26666666666666666,0.2,0.5822784810126582,0.42105263157894735,0.18181818181818182,1.0,0.18181818181818182,0.22641509433962265,0.2857142857142857,3,Patel Chowk,28.6229664,77.214031
14,0.41666666666666663,0.26666666666666666,1.0,0.9113924050632911,1.0,0.6363636363636364,0.6585365853658537,0.18181818181818182,0.7358490566037735,0.4444444444444444,3,Rajiv Chowk,28.6327804,77.2196996
18,0.16666666666666666,0.4666666666666667,0.0,0.3670886075949367,0.23684210526315788,0.36363636363636365,0.8780487804878049,0.09090909090909091,0.43396226415094336,0.12698412698412698,3,Sikandarpur,28.4812704,77.092999
31,0.5833333333333333,0.26666666666666666,0.2,0.8481012658227848,0.42105263157894735,0.7272727272727273,0.2682926829268293,0.36363636363636365,0.8867924528301886,0.15873015873015872,3,Malviya Nagar,28.5339201,77.2124474
32,0.3333333333333333,0.3333333333333333,0.4,0.4810126582278481,0.21052631578947367,0.36363636363636365,0.8292682926829269,0.6363636363636364,0.7169811320754716,0.047619047619047616,3,MG Road,28.4794579,77.0804652
61,0.5833333333333333,0.3333333333333333,0.2,0.810126582278481,0.5,0.5454545454545454,0.36585365853658536,0.5454545454545454,1.0,0.20634920634920634,3,Shaheed Nagar,28.5307795,77.2120573
83,0.41666666666666663,0.6,0.0,0.5443037974683544,0.18421052631578946,0.2727272727272727,0.6341463414634146,0.2727272727272727,0.7547169811320754,0.047619047619047616,3,Noida Sector 62,28.480862899999995,77.08488829999997
85,0.41666666666666663,0.6,0.0,0.5443037974683544,0.18421052631578946,0.2727272727272727,0.6341463414634146,0.2727272727272727,0.7547169811320754,0.047619047619047616,3,Noida Sector 61,28.480862899999995,77.08488829999997
86,0.41666666666666663,0.6,0.0,0.5443037974683544,0.18421052631578946,0.2727272727272727,0.6341463414634146,0.2727272727272727,0.7547169811320754,0.047619047619047616,3,Noida Sector 59,28.480862899999995,77.08488829999997
87,0.41666666666666663,0.6,0.0,0.5443037974683544,0.18421052631578946,0.2727272727272727,0.6341463414634146,0.2727272727272727,0.7547169811320754,0.047619047619047616,3,Noida Sector 52,28.480862899999995,77.08488829999997
88,0.41666666666666663,0.6,0.0,0.5443037974683544,0.18421052631578946,0.2727272727272727,0.6341463414634146,0.2727272727272727,0.7547169811320754,0.047619047619047616,3,Noida Sector 34,28.480862899999995,77.08488829999997
89,0.41666666666666663,0.6,0.0,0.5443037974683544,0.18421052631578946,0.2727272727272727,0.6341463414634146,0.2727272727272727,0.7547169811320754,0.047619047619047616,3,Noida Sector 18,28.480862899999995,77.08488829999997
90,0.41666666666666663,0.6,0.0,0.5443037974683544,0.18421052631578946,0.2727272727272727,0.6341463414634146,0.2727272727272727,0.7547169811320754,0.047619047619047616,3,Noida Sector 16,28.480862899999995,77.08488829999997
91,0.41666666666666663,0.6,0.0,0.5443037974683544,0.18421052631578946,0.2727272727272727,0.6341463414634146,0.2727272727272727,0.7547169811320754,0.047619047619047616,3,Noida Sector 15,28.480862899999995,77.08488829999997
110,1.0,0.2,0.6000000000000001,1.0,1.0,0.6363636363636364,0.7317073170731707,0.36363636363636365,0.830188679245283,0.3333333333333333,3,Barakhambha Road,28.629767600000005,77.22500459999998
189,0.3333333333333333,0.2,0.2,0.569620253164557,0.18421052631578946,0.36363636363636365,0.24390243902439024,0.2727272727272727,0.5094339622641509,0.1111111111111111,3,Lajpat Nagar,28.57060215,77.23653027838046
191,0.25,0.0,0.0,0.5949367088607594,0.3684210526315789,0.4545454545454546,0.2682926829268293,0.5454545454545454,0.4150943396226415,0.07936507936507936,3,Khan Market,28.6001354,77.22649064087364
193,0.3333333333333333,0.2,0.4,0.5189873417721519,0.3684210526315789,0.5454545454545454,0.5609756097560976,0.36363636363636365,0.4528301886792453,0.36507936507936506,3,Kailash Colony,28.5530522,77.2429694
195,0.41666666666666663,0.2,0.2,0.5063291139240507,0.13157894736842105,0.2727272727272727,0.34146341463414637,0.7272727272727273,0.4528301886792453,0.14285714285714285,3,Moolchand,28.5644043,77.2342783
205,0.41666666666666663,0.6,0.0,0.5443037974683544,0.18421052631578946,0.2727272727272727,0.6341463414634146,0.2727272727272727,0.7547169811320754,0.047619047619047616,3,Old Faridabad,28.480862899999995,77.08488829999997
215,0.5,0.26666666666666666,1.0,0.9746835443037974,1.0,0.5454545454545454,0.7560975609756098,0.18181818181818182,0.7735849056603773,0.2857142857142857,3,Shivaji Stadium,28.6315087,77.21605890000002
