,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster,Station,Latitude,Longitude
92,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.07317073170731708,0.0,0.03773584905660377,0.015873015873015872,0,Noida Electronic City,28.5793538,77.29330300000002
93,0.08333333333333333,0.3333333333333333,0.2,0.06329113924050633,0.0,0.0,0.1951219512195122,0.09090909090909091,0.3773584905660377,0.0,0,Nawada,28.6202758,77.0450787
94,0.0,0.6,0.2,0.05063291139240506,0.0,0.2727272727272727,0.0975609756097561,0.09090909090909091,0.1509433962264151,0.047619047619047616,1,Laxmi Nagar,28.63055515,77.2776331681994
95,0.0,0.06666666666666667,0.0,0.05063291139240506,0.0,0.36363636363636365,0.0975609756097561,0.0,0.018867924528301886,0.047619047619047616,0,Yamuna Bank,28.6232784,77.26792404925054
96,0.25,0.13333333333333333,0.4,0.0379746835443038,0.02631578947368421,0.36363636363636365,0.29268292682926833,0.0,0.1509433962264151,0.047619047619047616,1,Indraprastha,28.6206019,77.249551
97,0.16666666666666666,0.26666666666666666,0.2,0.20253164556962025,0.15789473684210525,0.2727272727272727,0.0975609756097561,0.09090909090909091,0.07547169811320754,0.07936507936507936,1,Janakpuri West,28.6289502,77.0779235
98,0.08333333333333333,0.4,0.2,0.1518987341772152,0.13157894736842105,0.4545454545454546,0.07317073170731708,0.18181818181818182,0.24528301886792453,0.047619047619047616,1,Dwarka Sector 12,28.592236199999995,77.04073149999998
99,0.25,0.26666666666666666,0.4,0.08860759493670886,0.05263157894736842,0.2727272727272727,0.43902439024390244,0.4545454545454546,0.07547169811320754,0.047619047619047616,1,Dwarka Sector 11,28.5864469,77.0494375
100,0.25,0.26666666666666666,0.2,0.08860759493670886,0.07894736842105263,0.2727272727272727,0.07317073170731708,0.36363636363636365,0.3773584905660377,0.07936507936507936,1,Dwarka Sector 10,28.5810577,77.05749959999999
101,0.41666666666666663,0.26666666666666666,0.2,0.20253164556962025,0.10526315789473684,0.36363636363636365,0.07317073170731708,0.09090909090909091,0.1509433962264151,0.09523809523809523,1,Janakpuri East,28.633021000000006,77.08675699999998
102,0.0,0.26666666666666666,0.0,0.06329113924050633,0.02631578947368421,0.09090909090909091,0.04878048780487805,0.0,0.018867924528301886,0.031746031746031744,0,Golf Course,28.59778075,77.15981693149558
103,0.08333333333333333,0.4,0.0,0.05063291139240506,0.02631578947368421,0.36363636363636365,0.12195121951219512,0.18181818181818182,0.07547169811320754,0.031746031746031744,1,Dwarka Sector 9,28.574272,77.0653316
